"","Field","Descriptive","temp10cm.mean","temp10cmstd","RH10cm.mean","RH10cmstd","Wind10cm.mean","Wind10cmstd","temp1.5m.mean","temp1.5mstd","RH1.5m.mean","RH1.5mstd","Wind1.5m.mean","Wind1.5mstd"
"1",1,1,33.74,0.880113629027525,36.72,4.23147728340824,0.24,0.092736184954957,33.6,0.926282894152752,36.6,4.47414796357921,1.2,0.459347363114234
"2",1,2,32.94,2.29229142998878,37.54,6.1509836611716,0.42,0.0860232526704263,33.24,2.25246531604817,36.42,6.44805396999746,1.28,0.259615099714943
"3",1,3,33.18,1.16550418274668,38.9,3.49642674740942,0.34,0.0871779788708135,32.48,1.31278330275792,36.28,3.53827641656216,1.58,0.3104834939252
"4",1,4,33.14,1.78146007533147,38,4.96990945591567,0.92,0.272763633939717,32.1,1.48761554173113,36.52,4.64590141953098,3.42,1.44512975196001
"5",2,1,30.8833333333333,0.461459038750402,42,3.82936025988676,0.9,0.278088714861523,30.7333333333333,0.39214509786274,40.8833333333333,3.38618927081428,1.76666666666667,0.595911999468975
"6",2,2,30.7833333333333,1.14175790389693,44.0666666666667,4.62411553104423,0.883333333333333,0.132706861582629,30.7,1.32237160687405,43.3,4.68543843555044,2.21666666666667,0.455643622923784
"7",2,3,31.5833333333333,1.74860261669457,41.8,6.49984615202545,0.7,0.212916258968951,30.5333333333333,1.83406046186536,41.8333333333333,6.66276552524884,1.96666666666667,0.576001543207809
"8",2,4,30.7666666666667,1.1783227250819,45.6166666666667,4.58340606002906,0.616666666666667,0.188709064729575,29.85,1.44285596416736,45.05,4.46920947521296,2.4,0.256904651573303
"9",3,1,31.04,1.2416118556135,29.46,3.17483857857372,0.86,0.237907545067406,30.14,1.68451773513965,27.38,3.76595273470074,1.16,0.380263066836631
"10",3,2,31.14,1.52269497930478,27.68,3.07821376775558,0.64,0.174928556845359,30.92,1.74568038311714,26.68,2.86625190798018,1.78,0.385227205685164
"11",3,3,31.6,1.32211951048307,29.08,2.99522954045262,0.88,0.316859590355097,30.66,1.26039676292825,28.1,3.23604697122894,2,0.353553390593274
"12",3,4,32.38,2.1843534512528,29.04,3.08894804100037,1.36,0.574108003776293,31.68,2.03823453017556,28.2,3.76191440625647,2.28,0.32155870381627
